label,text
spam,"Congratulations! You've won a $1000 Walmart gift card. Click here to claim now"
spam,"URGENT! Your account has been suspended. Verify your details immediately at this link"
spam,"You have been selected for a FREE iPhone 15. Reply YES to claim your prize"
spam,"WINNER! You are the lucky recipient of our monthly draw. Call 09061701461 to collect"
spam,"Final notice: your £2000 cash prize expires today. Claim at bit.ly/3xKprz"
spam,"You've won 2 tickets to the Champions League final! Text WIN to 85233 now"
spam,"CONGRATS! Your mobile number was randomly chosen for a $5000 grant. Claim within 24hrs"
spam,"Guaranteed winner! No purchase necessary. Send your bank details to receive £850"
spam,"Your number ended in 4471 and has WON our weekly jackpot. Reply CLAIM"
spam,"You are entitled to an unclaimed prize of 900 pounds. Call now before it is released"
spam,"Lucky draw result: you have won a Caribbean cruise for two. Confirm your address"
spam,"Second attempt to contact you regarding your lottery win. Ref: XL2847/9"
spam,"FREE entry into our £250 weekly competition. Just text ENTER to 80086"
spam,"You have 1 unclaimed reward worth $750. Tap to redeem before midnight"
spam,"Prize department: your claim number 8823 is ready. Reply with your full name and DOB"
spam,"Amazon customer, you have been chosen for a free product tester role. Claim kit here"
spam,"Your Tesco Clubcard has won a £500 voucher. Verify identity to release funds"
spam,"Selected! 4 nights in Dubai, all expenses paid. Reply DUBAI to accept"
spam,"You've won the staff raffle you did not enter. Click to see your prize"
spam,"Unclaimed compensation of £3,240 is waiting. Start your claim in 2 minutes"
spam,"Your bank account will be closed within 24 hours. Confirm your PIN at secure-hsbc-verify.com"
spam,"We detected unusual activity. Log in at natwest-secure-login.net to restore access"
spam,"Your card has been blocked for security. Reactivate here: barclays-id.co/verify"
spam,"Action required: verify your online banking within 12 hours or lose access"
spam,"NatWest: a new payee was added. If this was not you, cancel at nw-alert.info"
spam,"Your Halifax account is on hold pending verification. Update details immediately"
spam,"Security alert: sign in from a new device. Confirm your password to keep your account"
spam,"Your online banking certificate expired. Renew now to avoid suspension"
spam,"Santander: your account has been limited. Follow this link to lift the restriction"
spam,"We could not verify your identity. Re-enter your card number and CVV to continue"
spam,"Monzo security team: reply with the code we just sent to confirm it is you"
spam,"Your overdraft is being withdrawn. Confirm your details to keep your facility"
spam,"Fraud prevention: a payment of £899.00 is pending. Cancel it at this link"
spam,"Lloyds: your account access expires today. Reconfirm your memorable word here"
spam,"Important: your banking app must be re-authorised. Enter your full PIN to proceed"
spam,"Your Revolut card is suspended. Verify your passport photo at revolut-kyc.com"
spam,"Unauthorised login attempt blocked. Secure your account at this address now"
spam,"Your account is scheduled for deletion. Sign in within 24h at this link to stop it"
spam,"HMRC: your payment details are invalid. Update them to receive your refund"
spam,"PayPal: your account is limited until you confirm your identity. Resolve now"
spam,"Royal Mail: your parcel is held pending a £2.99 customs fee. Pay at rm-fees.co"
spam,"DPD: we could not deliver your item. Reschedule and pay the £1.45 charge here"
spam,"Your package is waiting. A small redelivery fee is required: click to arrange"
spam,"EVRI: address incomplete. Confirm your details and pay 0.99 to release the parcel"
spam,"UPS: import duty of £3.20 is outstanding on your shipment. Settle to avoid return"
spam,"Parcel on hold at depot. Unpaid shipping of £1.99. Update payment method"
spam,"FedEx notice: your delivery failed twice. Confirm your card to rebook"
spam,"Your order cannot be shipped until the balance of 2.50 is cleared. Pay now"
spam,"Customs have detained your item. A release fee applies. Follow the instructions"
spam,"Delivery attempt unsuccessful. Verify your postcode and card at this secure page"
spam,"We hold a parcel in your name. Claim it within 48 hours or it will be destroyed"
spam,"Shipping update: additional postage due. Tap here to complete your delivery"
spam,"Your item is at the sorting office. A handling charge of £1.10 must be paid"
spam,"Invest £250 in bitcoin today and receive £2,400 in 30 days. Guaranteed returns"
spam,"Crypto signal group: 300% gains this week. Join free, spaces limited"
spam,"I made £8,000 last month trading forex from my phone. DM me to learn how"
spam,"Double your Ethereum instantly. Send to this wallet and receive 2x back"
spam,"New coin launching tonight. Early buyers made 40x. Do not miss this"
spam,"Passive income opportunity: no experience needed, £400 a day possible"
spam,"Our AI trading bot has a 96% win rate. Deposit the minimum and watch it work"
spam,"Exclusive pre-sale access for selected investors. Reply INVEST for the contract"
spam,"Turn £100 into £1,000 with our managed portfolio. Withdraw anytime"
spam,"Your crypto wallet is eligible for an airdrop of 1,200 tokens. Connect to claim"
spam,"Work from home, earn £350-£600 weekly, no interview required. Start Monday"
spam,"We reviewed your CV and are offering you a position. No experience necessary"
spam,"Urgent hiring: package reshipping agent, £25/hour, flexible. Reply for details"
spam,"Immediate start data entry role, £22 per hour, paid weekly. Text JOB to apply"
spam,"You have been shortlisted without interview. Send your bank details for payroll"
spam,"Secret shopper needed in your area. £200 per assignment plus expenses"
spam,"Become a payment processor for our UK clients. Keep 10% of every transfer"
spam,"Part time admin, 2 hours a day, £1,800 monthly. WhatsApp this number"
spam,"Hi dear, I saw your profile and felt a connection. Are you single?"
spam,"My uncle left me $4.5 million and I need a trustworthy partner to receive it"
spam,"I am a widow with terminal illness seeking someone to donate my estate to"
spam,"Hello handsome, I am new in your city and looking for company tonight"
spam,"Please help me, I am stranded abroad and need £600 for a flight home"
spam,"Cheap Viagra and Cialis, no prescription required, discreet delivery worldwide"
spam,"Lose 12kg in 3 weeks with this one pill. Doctors are furious"
spam,"Buy painkillers online without a prescription. Fast shipping, no questions"
spam,"Miracle cure for diabetes the medical industry is hiding from you"
spam,"CBD gummies clinically proven to reverse ageing. 70% off today only"
spam,"HMRC has calculated you are owed a tax refund of £489.60. Claim it now"
spam,"You have an outstanding council tax balance. Pay today to avoid court action"
spam,"DVLA: your vehicle tax failed. Update your payment details to stay road legal"
spam,"Government cost of living grant of £650 available. Check eligibility here"
spam,"You are due a PPI refund. Submit your claim before the deadline passes"
spam,"National Insurance suspension notice. Call this number to resolve urgently"
spam,"Final demand: unpaid TV licence. Settle £157.50 immediately to stop prosecution"
spam,"Your benefit payment could not be processed. Reconfirm your bank details"
spam,"Netflix: your payment was declined. Update your card to keep watching"
spam,"Your Spotify Premium expires today. Renew at this link to avoid losing playlists"
spam,"Apple ID: your subscription auto-renewed for £79.99. Cancel here if unauthorised"
spam,"Amazon Prime renewal failed. Confirm your payment method within 24 hours"
spam,"Your Microsoft 365 licence is expiring. Renew now at 90% discount"
spam,"Disney+ billing problem detected. Re-enter your details to continue streaming"
spam,"Your antivirus subscription has lapsed. Your device is at risk. Renew instantly"
