label,text
spam,"C0ngratu1ations! Y0u have w0n a pr1ze. C1ick the 1ink to c1aim n0w"
spam,"U R A WINNER!! txt WIN 2 80086 4 ur FREE prize. 18+ T&Cs aply"
spam,"F R E E   e n t r y . Claim your reward at the address below"
spam,"Ur mobile no has won 2000 pounds. To claim call 09050000327 now. 1 claim per no"
spam,"Dear Customer, we have been trying to reach you regarding your accident claim"
spam,"Our records show you were involved in a non fault accident. You may be owed 3100"
spam,"Are you still paying too much for your energy? A specialist will call you today"
spam,"Free boiler grant available in your postcode. Check if you qualify in 30 seconds"
spam,"Solar panels fully funded by the government scheme. Reply YES for a free survey"
spam,"Your mobile contract is due an upgrade. You qualify for a free handset"
spam,"We buy any house, cash offer in 24 hours, no fees, any condition"
spam,"Your warranty has expired. Extend cover on your appliances before it is too late"
spam,"Do you have a will? Get one drafted free this month only. Limited appointments"
spam,"Unlock your pension early. Access up to 30% tax free before you turn 55"
spam,"Reduce your monthly outgoings by 180 pounds. A consultant is standing by to help"
spam,"Hi, this is Sarah from the claims department, I have been assigned to your case"
spam,"Your number came up in our system as owed compensation. Press 1 to speak to an agent"
spam,"IMPORTANT: legal action will commence unless you respond within 48 hours"
spam,"Court summons issued in your name. Case ref 88241. Call immediately to avoid arrest"
spam,"A warrant has been issued against your national insurance number. Do not ignore"
spam,"Your Facebook account was accessed from another country. Secure it here immediately"
spam,"Instagram: copyright violation reported on your account. Appeal within 24h or lose it"
spam,"WhatsApp: your account will be deactivated. Verify your number with the code sent"
spam,"Your Google account has been compromised. Sign in here to review the activity"
spam,"Someone tried to reset your password. If this was not you, confirm your details"
spam,"Your TikTok is eligible for monetisation. Connect your bank to receive payouts"
spam,"LinkedIn: a recruiter viewed you 14 times. Upgrade to see who and message them free"
spam,"Your domain registration expires today. Renew immediately to keep your website"
spam,"Invoice attached for services rendered. Payment overdue, remit within 3 days"
spam,"We have updated our bank details. Please send the outstanding payment to the new account"
spam,"CEO here, I need you to arrange an urgent transfer. Keep this between us for now"
spam,"Please purchase 4 Apple gift cards for a client gift and send me the codes"
spam,"Change of bank account for payroll, update my details before the next run"
spam,"Your Netflix household has changed. Confirm your location or streaming will stop"
spam,"Get 90% off designer watches, genuine brands, free worldwide shipping"
spam,"Replica handbags direct from the factory. No customs risk, guaranteed delivery"
spam,"Cheap flights to anywhere, 80% off, today only, no booking fee"
spam,"Your number was drawn for a free holiday. Only accommodation tax of 29 applies"
spam,"Casino bonus: 200 free spins, no deposit, withdraw your winnings instantly"
spam,"Bet 10 get 50 free. New customers only. Gamble responsibly. 18+"
spam,"Last chance to claim your free bet before it expires at midnight tonight"
spam,"Your loyalty points are about to expire. Redeem 4,500 points for a 45 voucher"
spam,"Scan this code at the till for 20 off your next shop. Today only"
spam,"Customer survey: 3 questions for a 250 pound voucher. Start here"
spam,"You have unused air miles worth 340 pounds. Transfer them before they lapse"
spam,"Your order 8841 could not be authorised. Re-enter your card to release it"
spam,"A buyer has paid but your account needs verification to receive funds"
spam,"Your marketplace payout is on hold. Complete identity verification to release 218"
spam,"Your item sold! Confirm your bank card to receive the payment"
spam,"Your refund of 64.20 is ready. Enter your card number to receive it faster"
ham,"The free bus pass application came through, all approved"
ham,"I won the pub quiz on my own, absolutely buzzing"
ham,"They gave us free pizza at the meeting, best Tuesday ever"
ham,"Urgent question: did you take the car keys?"
ham,"Can you verify the spelling of her surname before I print the cards?"
ham,"My code review comments are on the PR, nothing urgent"
ham,"The prize giving is at 6 in the main hall, parents welcome"
ham,"I claimed the expenses for the train tickets, should be in next month"
ham,"Congratulations again on the engagement, we are thrilled for you both"
ham,"Free parking after 6 apparently, so no need to rush back to the car"
ham,"Click the reset link they emailed you, it expires after an hour"
ham,"Verify you actually sent that invoice before I chase them about it"
ham,"I have won exactly nothing on the lottery in fifteen years"
ham,"The winner of the bake off was the lemon drizzle, obviously"
ham,"Free to talk now if you are"
ham,"Urgent only in the sense that the bins go out tonight"
ham,"Claim form is in the drawer next to the passports"
ham,"It says my account is locked, can you try logging in on yours?"
ham,"Your prize for putting up with me is a cup of tea, coming now"
ham,"Do not click anything in that text, it is a scam, just delete it"
ham,"I got one of those parcel fee texts again, obviously binned it"
ham,"The bank texted about a payment I did make, so all fine"
ham,"They asked me to verify my identity in branch, which seemed sensible"
ham,"My code is 4821 if you need to get in the building before me"
ham,"Free entry before 10 if we get there early enough"
ham,"Not free until after 4 I am afraid"
ham,"That job offer came with an actual interview, so probably legitimate"
ham,"The refund finally arrived, 64 back from the train company"
ham,"I have to verify my address for the tenancy, need a utility bill"
ham,"Congratulations, you are now the proud owner of a very loud kettle"
ham,"Mum I did drop my phone but this is still me, ask me something only I would know"
ham,"New number for the landline, the old one stops next week"
ham,"Please do not transfer anything to anyone who texts claiming to be me"
ham,"The hospital appointment letter says bring a list of your medication"
ham,"Physio says two weeks off running, which is annoying but fair"
ham,"Prescription collected, they had it ready in five minutes"
ham,"Dentist rang to move it to 2:40, I said yes, hope that is ok"
ham,"Your MOT passed with two advisories, nothing urgent to fix"
ham,"Car insurance renewal came in 40 cheaper this year somehow"
ham,"The estate agent needs a reference from your employer"
ham,"Landlord is sending someone about the boiler on Thursday morning"
ham,"Rent has gone out as normal, nothing to do"
ham,"Council tax bill arrived, it has gone up by about 6 a month"
ham,"I paid the water bill online, receipt is in my email if you need it"
ham,"Energy meter reading submitted, bill should be accurate this time"
ham,"The internet engineer is booked for Friday between 8 and 1"
ham,"Broadband is back on, apparently it was a street cabinet fault"
ham,"Parcel came, it is the wrong size so I will return it"
ham,"Returns label printed, dropping it at the post office tomorrow"
ham,"Order arrived early, everything is in the box"
ham,"Delivery is running late, app says 6 now instead of 4"
ham,"Left your parcel with next door at number 14"
ham,"Flight is delayed 40 minutes, still fine for the connection"
ham,"Boarding now, see you on the other side"
ham,"Train is cancelled, getting the next one, will be an hour later"
ham,"Platform changed to 9, they announced it at the last minute"
ham,"Got a seat, miraculously"
ham,"Bus was rammed so I walked, good decision"
ham,"Roadworks on the main road, leave a bit earlier than you planned"
ham,"Taxi booked for 5:15 to the airport, confirmation came through"
ham,"Parking is 4 for two hours, exact change or the app"
ham,"I am in the car park, second level, by the lift"
ham,"Reading week is the 26th so I will be home for a few days"
ham,"Got the marks back, happier with that than I expected"
ham,"The lecturer uploaded the slides finally"
ham,"Group project meeting moved to the library, third floor"
ham,"I have submitted the assignment with eleven minutes to spare"
ham,"Exam was fair, the last question was brutal though"
ham,"Signed up for the badminton society, first session Tuesday"
ham,"Halls are quiet this week, everyone has gone home"
ham,"Can I borrow your notes from Monday? I missed it"
ham,"Printer credit ran out, do you know where to top it up?"
ham,"Booked a study room for 2 till 5, room 4"
ham,"Coffee after the seminar? I need to complain about it"
ham,"That reading was 60 pages and said nothing, incredible"
ham,"Deadline is Friday but I am aiming for Wednesday so I can relax"
ham,"Do you want to split a taxi back? Cheaper than two"
ham,"I am cooking tonight, anything you do not fancy?"
ham,"We are out of coffee which is a genuine emergency"
ham,"Bin day moved to Wednesday because of the bank holiday"
ham,"Plumber came, it was the washer, 15 and ten minutes"
ham,"Painted the spare room, looks much better"
ham,"Neighbours are having a party, might be a loud one"
ham,"Cat has claimed the new chair as her own, naturally"
ham,"Sorry, wrong chat"
ham,"Ignore that, autocorrect"
ham,"Just seen this, sorry for the slow reply"
ham,"Call you in ten"
ham,"Yep all good"
ham,"Not sure yet, I will let you know by tonight"
ham,"Whenever suits you"
ham,"Either is fine with me"
ham,"Let us say 8 to be safe"
