label,text
spam,"Congratulations! You've won a $1000 Walmart gift card. Click here to claim now"
spam,"URGENT! Your account has been suspended. Verify your details immediately at this link"
spam,"You have been selected for a FREE cruise to the Bahamas! Call now to claim"
spam,"WINNER! As a valued customer you have been selected to receive a prize. Reply YES"
spam,"Limited time offer! Get 90% off on all products. Click the link before it expires"
spam,"Your loan of $5000 has been approved. No credit check required. Apply now"
spam,"Free entry into our $250 weekly draw, text WIN to 80086 now"
spam,"Claim your free iPhone 15 today! Just pay shipping and handling"
spam,"Hot singles in your area are waiting to chat with you tonight"
spam,"You have 1 new voicemail from an unknown caller, dial this premium number to listen"
spam,"CONGRATULATIONS your mobile number has won 500000 in the UK National Lottery"
spam,"Act now! Your credit card has been charged $499, call this number to dispute"
spam,"Get rich quick with this one simple trick banks dont want you to know"
spam,"Your package could not be delivered, click here to reschedule and pay a small fee"
spam,"FREE VIAGRA sample pack, no prescription needed, order online today"
spam,"You are pre approved for a $10000 personal loan, click to accept instantly"
spam,"Text STOP to unsubscribe or continue to receive amazing deals every day"
spam,"Your Netflix subscription payment failed, update your billing info immediately at this link"
spam,"Earn $5000 a week working from home, no experience necessary, sign up now"
spam,"This is your final notice, your car warranty is about to expire, call now"
spam,"Bitcoin investment opportunity, double your money in 24 hours guaranteed"
spam,"You've been chosen for a exclusive investment opportunity with 300% returns"
spam,"Click here to see who viewed your profile, limited time free access"
spam,"IRS notice: you owe back taxes, pay immediately to avoid arrest, click link"
spam,"Your Amazon order has an issue, verify your payment info within 24 hours or account will close"
spam,"Free trial ends today, enter your card details now to avoid interruption"
spam,"Congratulations you have been randomly selected to win a brand new laptop"
spam,"Reply now to claim your reward points before they expire tonight"
spam,"Special promo just for you, buy one get one free on all electronics today only"
spam,"Your bank account has unusual activity, confirm your identity now by clicking below"
spam,"Make money fast! Join our team and earn passive income with zero effort"
spam,"You qualify for a government grant of $9000, apply before the deadline"
spam,"Last chance to lower your mortgage rate, call this toll free number now"
spam,"Your subscription box is ready to ship, confirm your address to avoid cancellation fee"
spam,"Exclusive deal: get a free vacation package, just complete this short survey"
spam,"Your PayPal account has been limited, click here to restore full access"
spam,"You have an unclaimed inheritance of $2 million waiting, contact us to process"
spam,"Double your crypto in a week, join thousands of investors making profit daily"
spam,"Hurry the sale ends in 1 hour, use code SAVE70 for massive discounts"
spam,"Your number has won a lucky draw prize of an all expense paid trip"
ham,"Hey are we still on for lunch tomorrow at noon"
ham,"Can you pick up some milk on your way home"
ham,"The meeting has been moved to 3pm, see you in the conference room"
ham,"Happy birthday! Hope you have an amazing day"
ham,"I finished the report, let me know if you want any changes"
ham,"Running a bit late, be there in 10 minutes"
ham,"Thanks for helping me move this weekend, really appreciate it"
ham,"Did you watch the game last night, what a finish"
ham,"Mom said dinner is ready, come downstairs"
ham,"Let's catch up this weekend, it's been too long"
ham,"I attached the notes from today's class, let me know if you have questions"
ham,"Can you send me the address for the party on Saturday"
ham,"The doctor's appointment got rescheduled to next Tuesday at 2pm"
ham,"Great job on the presentation today, the client loved it"
ham,"Don't forget to bring your laptop charger tomorrow"
ham,"I'll be at the airport around 6, can you pick me up"
ham,"The kids have soccer practice at 5, can you drop them off"
ham,"Just wanted to check in and see how you're doing"
ham,"Can we reschedule our call to Thursday instead of Wednesday"
ham,"I left the keys under the mat, let yourself in"
ham,"Thanks for the recommendation, the restaurant was fantastic"
ham,"Are you free to talk tonight, I need some advice"
ham,"The project deadline got extended to next Friday"
ham,"I'm heading to the gym, want to join me later"
ham,"Congrats on the new job, you totally deserve it"
ham,"Can you review my essay before I submit it tomorrow"
ham,"The wifi is down again, can you call the provider"
ham,"Let's plan a trip for spring break, any ideas where to go"
ham,"I picked up the dry cleaning, it's hanging in the closet"
ham,"Your flight got delayed by two hours, new departure is 8pm"
ham,"Remember to water the plants while I'm away this week"
ham,"The book club meeting is at my place this time"
ham,"I updated the spreadsheet with the latest numbers"
ham,"Can you grab the mail when you get home"
ham,"We should carpool to the conference next month"
ham,"I made your favorite dinner, come eat before it gets cold"
ham,"The car needs an oil change, I'll take it in this weekend"
ham,"Thanks for covering my shift yesterday, I owe you one"
ham,"Let me know when you land so I can come pick you up"
ham,"The printer is out of toner again, did you order more"
ham,"I scheduled our dentist appointments for the same day next week"
